PBiomasa,PSolucion,PPrecipitado,KBiomasa,KSolucion,KPrecipitado,
0.0,1000.0,0.0,0.0,1000.0,0.0,
13.0,982.0,5.0,17.0,976.0,7.0,
26.0,964.0,10.0,34.0,952.0,14.0,
39.0,946.0,15.0,51.0,928.0,21.0,
52.0,928.0,20.0,68.0,904.0,28.0,
65.0,910.0,25.0,85.0,880.0,35.0,
78.0,892.0,30.0,102.0,856.0,42.0,
91.0,874.0,35.0,119.0,832.0,49.0,
104.0,856.0,40.0,136.0,808.0,56.0,
117.0,838.0,45.0,153.0,784.0,63.0,
130.0,820.0,50.0,170.0,760.0,70.0,
143.0,802.0,55.0,187.0,736.0,77.0,
156.0,784.0,60.0,204.0,712.0,84.0,
169.0,766.0,65.0,221.0,688.0,91.0,
182.0,748.0,70.0,238.0,664.0,98.0,
195.0,730.0,75.0,255.0,640.0,105.0,
208.0,712.0,80.0,272.0,616.0,112.0,
221.0,694.0,85.0,289.0,592.0,119.0,
234.0,676.0,90.0,306.0,568.0,126.0,
247.0,658.0,95.0,323.0,544.0,133.0,
260.0,640.0,100.0,340.0,520.0,140.0,
273.0,622.0,105.0,357.0,496.0,147.0,
286.0,604.0,110.0,374.0,472.0,154.0,
299.0,586.0,115.0,391.0,448.0,161.0,
312.0,568.0,120.0,408.0,424.0,168.0,
325.0,550.0,125.0,425.0,400.0,175.0,
338.0,532.0,130.0,442.0,376.0,182.0,
351.0,514.0,135.0,459.0,352.0,189.0,
364.0,496.0,140.0,476.0,328.0,196.0,
377.0,478.0,145.0,493.0,304.0,203.0,
390.0,460.0,150.0,510.0,280.0,210.0,
403.0,442.0,155.0,527.0,256.0,217.0,
416.0,424.0,160.0,544.0,232.0,224.0,
429.0,406.0,165.0,561.0,208.0,231.0,
442.0,388.0,170.0,578.0,184.0,238.0,
455.0,370.0,175.0,595.0,160.0,245.0,
468.0,352.0,180.0,612.0,136.0,252.0,
481.0,334.0,185.0,629.0,112.0,259.0,
494.0,316.0,190.0,646.0,88.0,266.0,
507.0,298.0,195.0,663.0,64.0,273.0,
520.0,280.0,200.0,680.0,40.0,280.0,
533.0,262.0,205.0,697.0,16.0,287.0,
546.0,244.0,210.0,713.0,0.0,287.0,
559.0,226.0,215.0,713.0,0.0,287.0,
572.0,208.0,220.0,713.0,0.0,287.0,
585.0,190.0,225.0,713.0,0.0,287.0,
598.0,172.0,230.0,713.0,0.0,287.0,
611.0,154.0,235.0,713.0,0.0,287.0,
624.0,136.0,240.0,713.0,0.0,287.0,
637.0,118.0,245.0,713.0,0.0,287.0,
650.0,100.0,250.0,713.0,0.0,287.0,
663.0,82.0,255.0,713.0,0.0,287.0,
676.0,64.0,260.0,713.0,0.0,287.0,
689.0,46.0,265.0,713.0,0.0,287.0,
702.0,28.0,270.0,713.0,0.0,287.0,
715.0,10.0,275.0,713.0,0.0,287.0,
725.0,0.0,275.0,713.0,0.0,287.0,
