Biomasa,Solucion,Precipitado,
0.0,10.0,0.0,
10.0,0.0,0.0,
Biomasa,Solucion,Precipitado,
0.0,1000.0,0.0,
12.0,978.0,10.0,
24.0,956.0,20.0,
36.0,934.0,30.0,
48.0,912.0,40.0,
60.0,890.0,50.0,
72.0,868.0,60.0,
84.0,846.0,70.0,
96.0,824.0,80.0,
108.0,802.0,90.0,
120.0,780.0,100.0,
132.0,758.0,110.0,
144.0,736.0,120.0,
156.0,714.0,130.0,
168.0,692.0,140.0,
180.0,670.0,150.0,
192.0,648.0,160.0,
204.0,626.0,170.0,
216.0,604.0,180.0,
228.0,582.0,190.0,
240.0,560.0,200.0,
252.0,538.0,210.0,
264.0,516.0,220.0,
276.0,494.0,230.0,
288.0,472.0,240.0,
300.0,450.0,250.0,
312.0,428.0,260.0,
324.0,406.0,270.0,
336.0,384.0,280.0,
348.0,362.0,290.0,
360.0,340.0,300.0,
372.0,318.0,310.0,
384.0,296.0,320.0,
396.0,274.0,330.0,
408.0,252.0,340.0,
420.0,230.0,350.0,
432.0,208.0,360.0,
444.0,186.0,370.0,
456.0,164.0,380.0,
468.0,142.0,390.0,
480.0,120.0,400.0,
492.0,98.0,410.0,
504.0,76.0,420.0,
516.0,54.0,430.0,
528.0,32.0,440.0,
540.0,10.0,450.0,
550.0,0.0,450.0,
Biomasa,Solucion,Precipitado,
0.0,200.0,0.0,
12.0,178.0,10.0,
24.0,156.0,20.0,
36.0,134.0,30.0,
48.0,112.0,40.0,
60.0,90.0,50.0,
72.0,68.0,60.0,
84.0,46.0,70.0,
96.0,24.0,80.0,
108.0,2.0,90.0,
110.0,0.0,90.0,
