PBiomasa,PSolucion,PPrecipitado,NBiomasa,NSolucion,NPrecipitado,
0.0,1000.0,0.0,0.0,1000.0,0.0,
12.0,981.0,7.0,17.0,976.0,7.0,
24.0,962.0,14.0,34.0,952.0,14.0,
36.0,943.0,21.0,51.0,928.0,21.0,
48.0,924.0,28.0,68.0,904.0,28.0,
60.0,905.0,35.0,85.0,880.0,35.0,
72.0,886.0,42.0,102.0,856.0,42.0,
84.0,867.0,49.0,119.0,832.0,49.0,
96.0,848.0,56.0,136.0,808.0,56.0,
108.0,829.0,63.0,153.0,784.0,63.0,
120.0,810.0,70.0,170.0,760.0,70.0,
132.0,791.0,77.0,187.0,736.0,77.0,
144.0,772.0,84.0,204.0,712.0,84.0,
156.0,753.0,91.0,221.0,688.0,91.0,
168.0,734.0,98.0,238.0,664.0,98.0,
180.0,715.0,105.0,255.0,640.0,105.0,
192.0,696.0,112.0,272.0,616.0,112.0,
204.0,677.0,119.0,289.0,592.0,119.0,
216.0,658.0,126.0,306.0,568.0,126.0,
228.0,639.0,133.0,323.0,544.0,133.0,
240.0,620.0,140.0,340.0,520.0,140.0,
252.0,601.0,147.0,357.0,496.0,147.0,
264.0,582.0,154.0,374.0,472.0,154.0,
276.0,563.0,161.0,391.0,448.0,161.0,
288.0,544.0,168.0,408.0,424.0,168.0,
300.0,525.0,175.0,425.0,400.0,175.0,
312.0,506.0,182.0,442.0,376.0,182.0,
324.0,487.0,189.0,459.0,352.0,189.0,
336.0,468.0,196.0,476.0,328.0,196.0,
348.0,449.0,203.0,493.0,304.0,203.0,
360.0,430.0,210.0,510.0,280.0,210.0,
372.0,411.0,217.0,527.0,256.0,217.0,
384.0,392.0,224.0,544.0,232.0,224.0,
396.0,373.0,231.0,561.0,208.0,231.0,
408.0,354.0,238.0,578.0,184.0,238.0,
420.0,335.0,245.0,595.0,160.0,245.0,
432.0,316.0,252.0,612.0,136.0,252.0,
444.0,297.0,259.0,629.0,112.0,259.0,
456.0,278.0,266.0,646.0,88.0,266.0,
468.0,259.0,273.0,663.0,64.0,273.0,
480.0,240.0,280.0,680.0,40.0,280.0,
492.0,221.0,287.0,697.0,16.0,287.0,
504.0,202.0,294.0,713.0,0.0,287.0,
516.0,183.0,301.0,713.0,0.0,287.0,
528.0,164.0,308.0,713.0,0.0,287.0,
540.0,145.0,315.0,713.0,0.0,287.0,
552.0,126.0,322.0,713.0,0.0,287.0,
564.0,107.0,329.0,713.0,0.0,287.0,
576.0,88.0,336.0,713.0,0.0,287.0,
588.0,69.0,343.0,713.0,0.0,287.0,
600.0,50.0,350.0,713.0,0.0,287.0,
612.0,31.0,357.0,713.0,0.0,287.0,
624.0,12.0,364.0,713.0,0.0,287.0,
636.0,0.0,364.0,713.0,0.0,287.0,
