kSolucion,kAbsorcion,kBiomasa,kPrecipitacion,kPrecipitado,PSolucion,PAbsorcion,PBiomasa,PPrecipitacion,PPrecipitado,
1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,
975.6667,11.333333,11.333333,13.0,13.0,981.94244,11.057556,11.057556,7.0,7.0,
951.40576,11.2609,22.594233,13.0,26.0,963.96155,10.9808855,22.03844,7.0,14.0,
927.22003,11.185714,33.779945,13.0,39.0,946.0602,10.901361,32.939804,7.0,21.0,
903.11237,11.107637,44.88758,13.0,52.0,928.24133,10.81884,43.758644,7.0,28.0,
879.0858,11.026522,55.9141,13.0,65.0,910.5082,10.733171,54.491814,7.0,35.0,
855.1436,10.942211,66.85631,13.0,78.0,892.864,10.644196,65.13601,7.0,42.0,
831.28906,10.85454,77.710846,13.0,91.0,875.31226,10.551748,75.68776,7.0,49.0,
807.52576,10.76333,88.474174,13.0,104.0,857.8566,10.45565,86.14341,7.0,56.0,
783.85736,10.668401,99.14258,13.0,117.0,840.5009,10.355713,96.49912,7.0,63.0,
760.2878,10.569551,109.71213,13.0,130.0,823.2492,10.251739,106.75086,7.0,70.0,
736.8212,10.46657,120.178696,13.0,143.0,806.1057,10.143515,116.89438,7.0,77.0,
713.462,10.359238,130.53793,13.0,156.0,789.0749,10.030821,126.9252,7.0,84.0,
690.21466,10.247318,140.78525,13.0,169.0,772.16144,9.913423,136.83862,7.0,91.0,
667.0841,10.130567,150.91582,13.0,182.0,755.37036,9.791069,146.6297,7.0,98.0,
644.0754,10.008716,160.92453,13.0,195.0,738.70685,9.6635,156.2932,7.0,105.0,
621.1939,9.881486,170.80602,13.0,208.0,722.1764,9.530436,165.82364,7.0,112.0,
598.4453,9.748585,180.5546,13.0,221.0,705.7848,9.391584,175.21523,7.0,119.0,
575.83563,9.6097,190.16429,13.0,234.0,689.53815,9.246638,184.46187,7.0,126.0,
553.37115,9.464506,199.6288,13.0,247.0,673.4429,9.095275,193.55714,7.0,133.0,
531.0585,9.312654,208.94145,13.0,260.0,657.50574,8.937155,202.4943,7.0,140.0,
508.90466,9.15378,218.09523,13.0,273.0,641.7338,8.771917,211.2662,7.0,147.0,
486.91714,8.987505,227.08273,13.0,286.0,626.13464,8.5991955,219.8654,7.0,154.0,
465.1037,8.813432,235.89616,13.0,299.0,610.71606,8.418597,228.284,7.0,161.0,
443.47256,8.631139,244.5273,13.0,312.0,595.4863,8.22972,236.51372,7.0,168.0,
422.03238,8.440197,252.9675,13.0,325.0,580.45416,8.032146,244.54587,7.0,175.0,
400.79224,8.240158,261.20764,13.0,338.0,565.6287,7.825445,252.3713,7.0,182.0,
379.7617,8.030554,269.2382,13.0,351.0,551.01953,7.609171,259.98047,7.0,189.0,
358.95078,7.8109136,277.0491,13.0,364.0,536.63666,7.3828764,267.36334,7.0,196.0,
338.37003,7.5807505,284.62985,13.0,377.0,522.49054,7.1461024,274.50943,7.0,203.0,
318.03046,7.3395786,291.96942,13.0,390.0,508.59216,6.898393,281.40784,7.0,210.0,
297.94354,7.0869064,299.05634,13.0,403.0,494.95288,6.6392946,288.04712,7.0,217.0,
278.12128,6.8222523,305.8786,13.0,416.0,481.5845,6.3683662,294.4155,7.0,224.0,
258.57614,6.545147,312.42374,13.0,429.0,468.49933,6.085183,300.50067,7.0,231.0,
239.321,6.2551413,318.67886,13.0,442.0,455.71,5.789346,306.29,7.0,238.0,
220.36917,5.9518213,324.63068,13.0,455.0,443.2295,5.4804964,311.7705,7.0,245.0,
201.73436,5.634817,330.2655,13.0,468.0,431.07117,5.1583276,316.92883,7.0,252.0,
183.43054,5.3038173,335.5693,13.0,481.0,419.24857,4.822591,321.75143,7.0,259.0,
165.47195,4.958585,340.5279,13.0,494.0,407.77545,4.473119,326.22455,7.0,266.0,
147.87299,4.598974,345.12686,13.0,507.0,396.66562,4.109844,330.33438,7.0,273.0,
130.64803,4.2249546,349.3518,13.0,520.0,385.9328,3.7328103,334.0672,7.0,280.0,
113.81141,3.8366196,353.18842,13.0,533.0,375.5906,3.3421953,337.4094,7.0,287.0,
97.37718,3.4342253,356.62265,13.0,546.0,365.65228,2.9383276,340.34772,7.0,294.0,
81.35899,3.0181901,359.64084,13.0,559.0,356.13058,2.5217078,342.86942,7.0,301.0,
65.76987,2.5891304,362.22998,13.0,572.0,347.03757,2.093029,344.96243,7.0,308.0,
50.621998,2.1478708,364.37784,13.0,585.0,338.3844,1.6531808,346.6156,7.0,315.0,
35.92654,1.6954558,366.0733,13.0,598.0,330.18112,1.2032688,347.81888,7.0,322.0,
21.693375,1.2331645,367.30646,13.0,611.0,322.4365,0.74461716,348.5635,7.0,329.0,
7.930874,0.76250154,368.06897,13.0,624.0,315.15775,0.27876216,348.84225,7.0,336.0,
0.0,0.28520054,368.35416,7.6456733,631.6457,308.15775,0.0,348.84225,7.0,343.0,
0.0,0.0,368.35416,0.0,631.6457,301.15775,0.0,348.84225,7.0,350.0,
0.0,0.0,368.35416,0.0,631.6457,294.15775,0.0,348.84225,7.0,357.0,
0.0,0.0,368.35416,0.0,631.6457,287.15775,0.0,348.84225,7.0,364.0,
0.0,0.0,368.35416,0.0,631.6457,280.15775,0.0,348.84225,7.0,371.0,
0.0,0.0,368.35416,0.0,631.6457,273.15775,0.0,348.84225,7.0,378.0,
0.0,0.0,368.35416,0.0,631.6457,266.15775,0.0,348.84225,7.0,385.0,
0.0,0.0,368.35416,0.0,631.6457,259.15775,0.0,348.84225,7.0,392.0,
0.0,0.0,368.35416,0.0,631.6457,252.15775,0.0,348.84225,7.0,399.0,
0.0,0.0,368.35416,0.0,631.6457,245.15775,0.0,348.84225,7.0,406.0,
0.0,0.0,368.35416,0.0,631.6457,238.15775,0.0,348.84225,7.0,413.0,
0.0,0.0,368.35416,0.0,631.6457,231.15775,0.0,348.84225,7.0,420.0,
0.0,0.0,368.35416,0.0,631.6457,224.15775,0.0,348.84225,7.0,427.0,
0.0,0.0,368.35416,0.0,631.6457,217.15775,0.0,348.84225,7.0,434.0,
0.0,0.0,368.35416,0.0,631.6457,210.15775,0.0,348.84225,7.0,441.0,
0.0,0.0,368.35416,0.0,631.6457,203.15775,0.0,348.84225,7.0,448.0,
0.0,0.0,368.35416,0.0,631.6457,196.15775,0.0,348.84225,7.0,455.0,
0.0,0.0,368.35416,0.0,631.6457,189.15775,0.0,348.84225,7.0,462.0,
0.0,0.0,368.35416,0.0,631.6457,182.15775,0.0,348.84225,7.0,469.0,
0.0,0.0,368.35416,0.0,631.6457,175.15775,0.0,348.84225,7.0,476.0,
0.0,0.0,368.35416,0.0,631.6457,168.15775,0.0,348.84225,7.0,483.0,
0.0,0.0,368.35416,0.0,631.6457,161.15775,0.0,348.84225,7.0,490.0,
0.0,0.0,368.35416,0.0,631.6457,154.15775,0.0,348.84225,7.0,497.0,
0.0,0.0,368.35416,0.0,631.6457,147.15775,0.0,348.84225,7.0,504.0,
0.0,0.0,368.35416,0.0,631.6457,140.15775,0.0,348.84225,7.0,511.0,
0.0,0.0,368.35416,0.0,631.6457,133.15775,0.0,348.84225,7.0,518.0,
0.0,0.0,368.35416,0.0,631.6457,126.157745,0.0,348.84225,7.0,525.0,
0.0,0.0,368.35416,0.0,631.6457,119.157745,0.0,348.84225,7.0,532.0,
0.0,0.0,368.35416,0.0,631.6457,112.157745,0.0,348.84225,7.0,539.0,
0.0,0.0,368.35416,0.0,631.6457,105.157745,0.0,348.84225,7.0,546.0,
0.0,0.0,368.35416,0.0,631.6457,98.157745,0.0,348.84225,7.0,553.0,
0.0,0.0,368.35416,0.0,631.6457,91.157745,0.0,348.84225,7.0,560.0,
0.0,0.0,368.35416,0.0,631.6457,84.157745,0.0,348.84225,7.0,567.0,
0.0,0.0,368.35416,0.0,631.6457,77.157745,0.0,348.84225,7.0,574.0,
0.0,0.0,368.35416,0.0,631.6457,70.157745,0.0,348.84225,7.0,581.0,
0.0,0.0,368.35416,0.0,631.6457,63.157745,0.0,348.84225,7.0,588.0,
0.0,0.0,368.35416,0.0,631.6457,56.157745,0.0,348.84225,7.0,595.0,
0.0,0.0,368.35416,0.0,631.6457,49.157745,0.0,348.84225,7.0,602.0,
