PSolucion,PAbsorcion,PBiomasa,PPrecipitacion,PPrecipitado,KSolucion,KAbsorcion,KBiomasa,KPrecipitacion,KPrecipitado,
1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,
986.3333,8.666666,8.666666,5.0,5.0,981.82153,11.178445,11.178445,7.0,7.0,
972.62683,8.706492,17.373158,5.0,10.0,963.59436,11.227198,22.405643,7.0,14.0,
958.8789,8.747906,26.121063,5.0,15.0,945.31647,11.277872,33.683517,7.0,21.0,
945.0879,8.791006,34.91207,5.0,20.0,926.9859,11.330593,45.01411,7.0,28.0,
931.25195,8.835908,43.74798,5.0,25.0,908.6004,11.38549,56.3996,7.0,35.0,
917.3692,8.882729,52.630707,5.0,30.0,890.1577,11.44271,67.84231,7.0,42.0,
903.4376,8.931601,61.56231,5.0,35.0,871.6553,11.502411,79.34472,7.0,49.0,
889.45496,8.982672,70.54498,5.0,40.0,853.0905,11.564766,90.909485,7.0,56.0,
875.4189,9.036098,79.58108,5.0,45.0,834.4606,11.629966,102.53945,7.0,63.0,
861.32684,9.092058,88.673134,5.0,50.0,815.7623,11.69822,114.23767,7.0,70.0,
847.1761,9.150744,97.823875,5.0,55.0,796.99255,11.769762,126.00743,7.0,77.0,
832.9637,9.212373,107.03625,5.0,60.0,778.1477,11.844848,137.85228,7.0,84.0,
818.6865,9.277184,116.31343,5.0,65.0,759.22394,11.923762,149.77605,7.0,91.0,
804.34106,9.345442,125.658875,5.0,70.0,740.2171,12.006821,161.78287,7.0,98.0,
789.92365,9.417447,135.07632,5.0,75.0,721.12274,12.094382,173.87724,7.0,105.0,
775.4301,9.493537,144.56985,5.0,80.0,701.9359,12.186842,186.06409,7.0,112.0,
760.856,9.574085,154.14394,5.0,85.0,682.65125,12.284648,198.34874,7.0,119.0,
746.1965,9.659523,163.80347,5.0,90.0,663.26294,12.388306,210.73705,7.0,126.0,
731.44617,9.750336,173.5538,5.0,95.0,643.7645,12.498397,223.23544,7.0,133.0,
716.59906,9.847078,183.40088,5.0,100.0,624.149,12.615568,235.85101,7.0,140.0,
701.6487,9.950389,193.35127,5.0,105.0,604.4084,12.740579,248.5916,7.0,147.0,
